1,1984-09-10,1985-06-07
2,1985-09-09,1986-06-06
3,1986-09-08,1987-07-24
4,1987-09-07,1988-07-22
5,1988-09-05,1989-07-21
6,1989-09-04,1990-07-20
7,1990-09-03,1991-07-19
8,1991-09-02,1992-07-17
9,1992-09-07,1993-07-23
10,1993-09-06,1994-07-22
11,1994-09-05,1995-07-21
12,1995-09-04,1996-07-19
13,1996-09-02,1997-07-18
14,1997-09-01,1998-07-17
15,1998-09-07,1999-07-23
16,1999-09-06,2000-07-21
17,2000-09-04,2001-07-20
18,2001-09-03,2002-07-19
19,2002-09-02,2003-07-18
20,2003-09-08,2004-07-23
21,2004-09-06,2005-07-22
22,2005-09-12,2006-07-28
23,2006-09-11,2007-07-27
24,2007-09-10,2008-07-25
25,2008-09-08,2009-07-24
26,2009-09-14,2010-07-30
27,2010-09-13,2011-07-29
28,2011-09-19,2012-08-03
29,2012-09-17,2013-08-02
30,2013-09-16,2014-08-01
31,2014-09-15,2015-07-31
32,2015-09-14,2016-07-29
33,2016-09-12,2017-07-28
34,2017-09-11,2018-07-27
35,2018-09-10,2019-07-26
36,2019-09-09,2020-06-12
37,2020-09-14,2021-08-13
38,2021-09-13,2022-07-29
39,2022-09-12,2023-07-28
